Item,Total midwest,"Less than $15,000","$15,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 and more"
Drugs,527,282,398,553,511,634,534,630,589,799
Medical supplies,196,67,143,136,142,196,236,277,302,453
,,,,,,,,,,
Entertainment,"3,487","1,442","1,553","3,202","2,353","2,911","3,630","5,695","7,577","8,081"
Fees and admissions,708,194,276,278,494,459,732,"1,245","1,817","2,862"
Audio and visual equipment and services,996,481,672,826,928,"1,028","1,100","1,399","1,504","1,796"
"Pets, toys, hobbies, and playground equipment",960,233,409,401,621,812,"1,227","1,454","3,648","1,396"
Pets,780,188,322,334,510,632,947,"1,188","3,146","1,180"
"Toys, hobbies, and playground equipment",180,c/ 45,87,67,111,180,280,266,502,216
"Other entertainment supplies, equipment, and services",823,534,195,"1,698",310,612,572,"1,597",609,"2,026"
,,,,,,,,,,
Personal care products and services,764,280,413,483,749,683,882,"1,157","1,410","1,791"
,,,,,,,,,,
Reading,118,60,62,101,106,121,144,138,178,286
,,,,,,,,,,
Education,"1,238","1,084",305,341,532,838,"1,120","1,824","3,528","5,655"
,,,,,,,,,,
Tobacco products and smoking supplies,400,308,330,388,481,530,481,379,385,213
,,,,,,,,,,
Miscellaneous,893,375,545,973,921,771,"1,051","1,058","1,697","1,552"
,,,,,,,,,,
Cash contributions,"1,843",556,"1,203",954,"1,436","1,288","1,690","2,249","3,442","9,702"
,,,,,,,,,,
Personal insurance and pensions,"6,790",523,"1,791","2,324","3,778","5,129","8,013","13,136","18,056","27,009"
Life and other personal insurance,468,153,248,236,442,389,481,752,970,"1,476"
Pensions and Social Security,"6,323",370,"1,543","2,089","3,336","4,740","7,532","12,384","17,086","25,533"
,,,,,,,,,,
Sources of income and personal taxes:,,,,,,,,,,
,,,,,,,,,,
Money income before taxes,"$71,617","$7,802","$22,276","$34,718","$44,885","$59,236","$83,820","$120,169","$170,942","$299,190"
Wages and salaries,"55,251","2,448","8,793","19,429","29,224","43,804","70,104","103,868","145,703","235,540"
Self-employment income,"4,414",50,473,938,"1,517","2,479","3,686","6,353","12,965","37,171"
"Social Security, private and government retirement","8,696","3,386","11,196","12,423","12,140","10,901","7,454","6,608","5,046","7,677"
"Interest, dividends, rental income, other property income","2,042",131,358,651,729,"1,251","1,550","2,114","6,812","17,650"
"Public assistance, Supplemental Security Income, Supplementary Nutrition Assistance Program (SNAP)",424,"1,119",746,542,374,242,108,145,c/ 36,c/ 32
"Unemployment and workers' compensation, veterans' benefits, and regular contributions for support",456,214,357,424,475,266,698,705,c/ 279,c/ 674
Other income,333,455,353,312,425,293,220,377,c/ 101,c/ 446
,,,,,,,,,,
Personal taxes (contains some imputed values),"9,459",-500,-870,437,"1,841","4,752","9,539","17,763","29,925","75,319"
Federal income taxes,"7,258",-252,-665,176,"1,197","3,388","6,991","13,151","23,418","61,027"
State and local income taxes,"2,087",-279,-248,213,574,"1,301","2,473","4,160","6,404","14,184"
Other taxes,114,c/ 30,43,48,69,63,74,452,c/ 102,c/ 108
,,,,,,,,,,
Income after taxes,"62,158","8,302","23,146","34,281","43,044","54,485","74,281","102,406","141,017","223,871"
,,,,,,,,,,
